iter	Passed	Remaining
0	45	45288
1	99	49621
2	157	52192
3	206	51376
4	257	51253
5	309	51201
6	365	51787
7	423	52504
8	485	53457
9	542	53735
10	599	53915
11	653	53776
12	713	54159
13	766	53978
14	814	53474
15	872	53662
16	919	53165
17	971	53018
18	1025	52923
19	1074	52649
20	1126	52515
21	1180	52494
22	1227	52156
23	1277	51970
24	1327	51785
25	1376	51580
26	1425	51353
27	1466	50919
28	1516	50778
29	1565	50620
30	1611	50378
31	1655	50072
32	1699	49812
33	1742	49512
34	1787	49295
35	1837	49197
36	1882	48988
37	1926	48774
38	1967	48483
39	2013	48329
40	2056	48095
41	2101	47923
42	2144	47730
43	2194	47683
44	2241	47580
45	2287	47431
46	2335	47356
47	2385	47320
48	2442	47401
49	2499	47485
50	2550	47463
51	2589	47206
52	2640	47182
53	2684	47034
54	2729	46893
55	2781	46881
56	2830	46821
57	2878	46746
58	2938	46874
59	2992	46880
60	3042	46841
61	3094	46824
62	3144	46762
63	3198	46783
64	3254	46808
65	3300	46701
66	3350	46661
67	3412	46769
68	3462	46714
69	3510	46645
70	3558	46561
71	3609	46518
72	3663	46516
73	3715	46494
74	3762	46400
75	3805	46270
76	3852	46183
77	3899	46099
78	3946	46007
79	3999	45997
80	4051	45964
81	4098	45883
82	4146	45806
83	4200	45800
84	4254	45800
85	4309	45797
86	4363	45791
87	4412	45726
88	4463	45689
89	4509	45597
90	4562	45572
91	4609	45491
92	4664	45488
93	4707	45376
94	4754	45292
95	4808	45277
96	4863	45278
97	4912	45218
98	4970	45236
99	5020	45183
100	5063	45071
101	5110	44992
102	5155	44894
103	5210	44888
104	5259	44830
105	5322	44887
106	5397	45042
107	5453	45038
108	5510	45042
109	5564	45022
110	5611	44938
111	5661	44888
112	5711	44834
113	5768	44834
114	5819	44781
115	5872	44749
116	5925	44720
117	5991	44782
118	6037	44696
119	6083	44609
120	6132	44549
121	6178	44465
122	6230	44422
123	6283	44390
124	6322	44259
125	6368	44175
126	6403	44016
127	6442	43888
128	6506	43930
129	6558	43890
130	6602	43799
131	6645	43700
132	6687	43596
133	6729	43490
134	6778	43435
135	6825	43362
136	6885	43375
137	6941	43358
138	6999	43357
139	7056	43347
140	7105	43285
141	7160	43266
142	7216	43248
143	7272	43229
144	7329	43221
145	7385	43202
146	7437	43159
147	7488	43111
148	7539	43062
149	7595	43039
150	7649	43007
151	7707	43002
152	7770	43016
153	7821	42968
154	7871	42909
155	7925	42877
156	7978	42840
157	8021	42749
158	8069	42682
159	8118	42621
160	8162	42536
161	8214	42492
162	8271	42474
163	8322	42424
164	8367	42345
165	8415	42279
166	8472	42259
167	8532	42254
168	8590	42241
169	8645	42208
170	8716	42257
171	8763	42189
172	8809	42111
173	8869	42104
174	8921	42056
175	8972	42007
176	9017	41928
177	9063	41856
178	9109	41781
179	9155	41708
180	9210	41677
181	9256	41605
182	9304	41540
183	9361	41514
184	9408	41448
185	9467	41432
186	9522	41399
187	9569	41333
188	9619	41275
189	9665	41206
190	9720	41171
191	9767	41106
192	9818	41055
193	9865	40987
194	9918	40945
195	9971	40903
196	10020	40845
197	10071	40796
198	10122	40742
199	10168	40673
200	10214	40604
201	10258	40528
202	10301	40442
203	10350	40386
204	10398	40327
205	10438	40232
206	10514	40281
207	10569	40246
208	10631	40238
209	10678	40170
210	10732	40132
211	10777	40061
212	10836	40039
213	10924	40123
214	10975	40073
215	11014	39978
216	11049	39870
217	11091	39785
218	11132	39699
219	11170	39604
220	11208	39508
221	11243	39402
222	11297	39364
223	11349	39317
224	11426	39359
225	11480	39316
226	11519	39228
227	11575	39193
228	11624	39137
229	11673	39079
230	11725	39034
231	11779	38994
232	11835	38960
233	11890	38924
234	11943	38880
235	12000	38850
236	12051	38798
237	12111	38775
238	12163	38728
239	12217	38687
240	12255	38596
241	12294	38509
242	12330	38410
243	12372	38333
244	12417	38265
245	12473	38230
246	12517	38159
247	12557	38077
248	12596	37992
249	12637	37911
250	12681	37843
251	12735	37802
252	12787	37755
253	12828	37677
254	12878	37624
255	12925	37565
256	12964	37482
257	13007	37409
258	13056	37355
259	13107	37305
260	13150	37233
261	13201	37186
262	13247	37122
263	13294	37062
264	13343	37008
265	13394	36961
266	13437	36891
267	13479	36816
268	13531	36772
269	13587	36737
270	13647	36712
271	13694	36651
272	13733	36573
273	13783	36520
274	13826	36450
275	13868	36379
276	13910	36306
277	13950	36230
278	13992	36159
279	14041	36106
280	14082	36033
281	14128	35972
282	14167	35895
283	14208	35821
284	14256	35765
285	14299	35699
286	14342	35631
287	14387	35569
288	14430	35502
289	14483	35459
290	14527	35395
291	14564	35314
292	14603	35237
293	14642	35161
294	14688	35102
295	14741	35060
296	14797	35024
297	14853	34990
298	14898	34929
299	14943	34867
300	14984	34798
301	15033	34745
302	15078	34684
303	15121	34620
304	15174	34577
305	15230	34541
306	15279	34489
307	15322	34426
308	15372	34377
309	15425	34334
310	15478	34290
311	15529	34244
312	15577	34190
313	15627	34141
314	15681	34101
315	15729	34047
316	15778	33996
317	15834	33958
318	15890	33923
319	15946	33885
320	15996	33837
321	16049	33793
322	16099	33744
323	16142	33680
324	16188	33622
325	16233	33563
326	16284	33515
327	16340	33478
328	16400	33448
329	16446	33391
330	16498	33345
331	16540	33279
332	16590	33229
333	16644	33189
334	16696	33144
335	16753	33107
336	16809	33070
337	16857	33016
338	16898	32950
339	16946	32895
340	16993	32840
341	17044	32793
342	17092	32739
343	17148	32702
344	17198	32651
345	17250	32606
346	17299	32555
347	17346	32499
